scale,quad_id,selection_note,raster_file,summary_csv,source_n_pixels,source_method,source_entropy,sample_rule,rule_type,rule_value,rule_label,rule_axis_label,applicable_scales,sample_size,sample_fraction,sample_label,plot_sample_label
10m,1315_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1315_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,9077,bootstrap_mean,2.82887997957035,fixed_3000,fixed,3000,"Fixed 3,000","3,000","10m,20m",3000,0.3305056736807315,"Fixed 3,000 (33.1%)","3,000
33.1%"
10m,1315_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1315_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,9077,bootstrap_mean,2.82887997957035,fixed_4000,fixed,4000,"Fixed 4,000","4,000",all,4000,0.4406742315743087,"Fixed 4,000 (44.1%)","4,000
44.1%"
10m,1400_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1400_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,6806,bootstrap_mean,2.91111167549858,pct_1,percent,0.01,1% of pixels,1%,all,68,0.00999118424919189,1% of pixels = 68 pixels (1.0%),"1%
68 px"
10m,1400_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1400_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,6806,bootstrap_mean,2.91111167549858,pct_2,percent,0.02,2% of pixels,2%,all,136,0.01998236849838378,2% of pixels = 136 pixels (2.0%),"2%
136 px"
10m,1400_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1400_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,6806,bootstrap_mean,2.91111167549858,pct_3,percent,0.03,3% of pixels,3%,all,204,0.02997355274757567,3% of pixels = 204 pixels (3.0%),"3%
204 px"
10m,1400_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1400_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,6806,bootstrap_mean,2.91111167549858,fixed_1250,fixed,1250,"Fixed 1,250","1,250",all,1250,0.18366147516896855,"Fixed 1,250 (18.4%)","1,250
18.4%"
10m,1400_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1400_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,6806,bootstrap_mean,2.91111167549858,fixed_2000,fixed,2000,"Fixed 2,000","2,000","10m,20m",2000,0.29385836027034967,"Fixed 2,000 (29.4%)","2,000
29.4%"
10m,1400_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1400_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,6806,bootstrap_mean,2.91111167549858,fixed_3000,fixed,3000,"Fixed 3,000","3,000","10m,20m",3000,0.44078754040552454,"Fixed 3,000 (44.1%)","3,000
44.1%"
10m,1400_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1400_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,6806,bootstrap_mean,2.91111167549858,fixed_4000,fixed,4000,"Fixed 4,000","4,000",all,4000,0.5877167205406993,"Fixed 4,000 (58.8%)","4,000
58.8%"
10m,1414_a,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1414_a,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,6227,bootstrap_mean,2.70719015152057,pct_1,percent,0.01,1% of pixels,1%,all,62,0.00995664043680745,1% of pixels = 62 pixels (1.0%),"1%
62 px"
10m,1414_a,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1414_a,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,6227,bootstrap_mean,2.70719015152057,pct_2,percent,0.02,2% of pixels,2%,all,125,0.02007387184840212,2% of pixels = 125 pixels (2.0%),"2%
125 px"
10m,1414_a,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1414_a,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,6227,bootstrap_mean,2.70719015152057,pct_3,percent,0.03,3% of pixels,3%,all,187,0.03003051228520957,3% of pixels = 187 pixels (3.0%),"3%
187 px"
10m,1414_a,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1414_a,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,6227,bootstrap_mean,2.70719015152057,fixed_1250,fixed,1250,"Fixed 1,250","1,250",all,1250,0.2007387184840212,"Fixed 1,250 (20.1%)","1,250
20.1%"
