"quad_id","scale","brightness_n_pixels","mean_pixel_brightness","median_pixel_brightness","sd_pixel_brightness","blue_brightness_n_pixels","mean_blue_pixel_brightness","green_brightness_n_pixels","mean_green_pixel_brightness","red_brightness_n_pixels","mean_red_pixel_brightness","nir_brightness_n_pixels","mean_nir_pixel_brightness"
"103_d","10m",7054,0.0587418104060098,0.0584553051739931,0.0154690903095757,7054,0.0196559041489946,7054,0.0476975314513459,7054,0.105930561871492,7054,0.452734875244107
"104_a","10m",5827,0.0598620135869025,0.0583800226449966,0.0181013467911898,5827,0.0182829668292,5827,0.047675234986796,5827,0.106083771464651,5827,0.447313634266274
"104_b","10m",5579,0.0546908351270705,0.0534160882234573,0.0151151787052546,5579,0.0179933761971643,5579,0.04426197811478,5579,0.102327679496854,5579,0.44432337536433
"104_c","10m",7448,0.0538826147421982,0.0524066649377346,0.0144767306668965,7448,0.0179968172636337,7448,0.0436964017578937,7448,0.10090116744037,7448,0.446504472125878
"104_d","10m",7943,0.0509049720566447,0.0478751622140408,0.0135738472426179,7943,0.0187153360411766,7943,0.0419762816507727,7943,0.0976935546697358,7943,0.443059105841854
"105_a","10m",8027,0.0579917520461937,0.0570794604718685,0.0153305060243254,8027,0.0219387609908144,8027,0.0481470821313571,8027,0.102852455847916,8027,0.431239694631997
"105_b","10m",7017,0.0605778249233613,0.0596545301377773,0.0167012373141058,7017,0.022648692570336,7017,0.050178568781651,7017,0.103865582940116,7017,0.423860306369497
"105_c","10m",7273,0.0612452502939817,0.0612698905169964,0.0166483551105671,7273,0.0215616469312785,7273,0.0500914227436935,7273,0.110042471138931,7273,0.454821441787742
"105_d","10m",6731,0.0545984126041892,0.0521879829466343,0.0159731466498788,6731,0.0206223066159908,6731,0.0454403243087638,6731,0.0930706545178057,6731,0.369849660046174
"106_a","10m",6919,0.0552319568267041,0.055565632879734,0.0137485219843113,6919,0.0210767654280668,6919,0.0459650808622269,6919,0.0934553175864652,6919,0.365637417682641
"106_b","10m",7876,0.0655485980651153,0.065566785633564,0.0185977185801174,7876,0.0229688103378862,7876,0.0536122885071932,7876,0.116084978964644,7876,0.48531806386275
"106_c","10m",5803,0.0535797156103362,0.0541422925889492,0.012657359541174,5803,0.0155421643321525,5803,0.04209855674575,5803,0.102152953190855,5803,0.449506553470133
"106_d","10m",6677,0.057994846827301,0.0572312287986279,0.0160773770696342,6677,0.0177055327912885,6677,0.0458246853809668,6677,0.101735714170132,6677,0.424990477888372
"107_a","10m",6298,0.0530919933936503,0.0513717141002417,0.0145224382899779,6298,0.0183316991533648,6298,0.0426248317619864,6298,0.10218067122608,6298,0.428367160437229
"107_b","10m",6473,0.0644549863934103,0.0638793408870697,0.0195071937341012,6473,0.0190457601431302,6473,0.0505858367658269,6473,0.114918416500385,6473,0.465920029045137
"107_c","10m",8264,0.0523742230952558,0.0529387705028057,0.0108795422128462,8264,0.0199746674005624,8264,0.0425886468311303,8264,0.107462536928999,8264,0.476503533108641
"107_d","10m",7581,0.0509283143819133,0.0508548319339752,0.0115368980020066,7581,0.0186863592073991,7581,0.0410316174330372,7581,0.103092953632047,7581,0.451553090799533
"108_a","10m",7856,0.0558340695571409,0.0554392840713263,0.0134722681080701,7856,0.0184661195232097,7856,0.0446358895959686,7856,0.110523875147408,7856,0.48578667980395
"108_b","10m",8053,0.0572607192656912,0.0575913414359093,0.0136691616056062,8053,0.0184113189053665,8053,0.0456865674700869,8053,0.111230870708365,8053,0.496793030631882
"108_c","10m",7680,0.0575195702471926,0.0576756484806538,0.0143766491602752,7680,0.0188347532479653,7680,0.046050626805109,7680,0.109527656369191,7680,0.470585591087991
"108_d","10m",8224,0.0580677175640712,0.0581209063529968,0.0136375674879688,8224,0.0199070105279416,8224,0.0466009484723199,8224,0.11802126604972,8224,0.501046825362902
"109_a","10m",8703,0.0650606028443282,0.065997876226902,0.0150919036346726,8703,0.0247282623727562,8703,0.0536362755622903,8703,0.117347268860914,8703,0.496649351115406
