"scale","x_metric","x_label","y_metric","y_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","spearman_r","spearman_p_value"
"20m","spec_alpha","Raw PCA alpha hull","spec_hull3d_a","Raw PCA 3D hull area",436,0.720715217856296,0.519430425249648,469.095041390117,4.62781044577026e-71,7.58232974679795,-1328.21346315147,0.755380252896246,1.08453485763173e-81
"20m","spec_alpha","Raw PCA alpha hull","spec_spca_alpha","Std PCA alpha hull",436,0.748367129465571,0.560053360464538,552.483270921807,2.11764110986375e-79,0.69921360711465,193.405349021833,0.725785151847061,1.6334524912656e-72
"20m","spec_alpha","Raw PCA alpha hull","spec_spca_rao","Std PCA Rao's Q",436,0.639556271025138,0.40903222380758,300.388603717521,1.60318461920856e-51,0.457376699663889,-144.768318558243,0.728189309497834,3.25818530352033e-73
"20m","spec_alpha","Raw PCA alpha hull","spec_spca_mean","Std PCA mean distance",436,0.74410138666455,0.553686873636106,538.411462633401,4.81193609750164e-78,0.00689272073284654,2.584424750939,0.705663488873622,6.21418758093193e-67
"20m","spec_alpha","Raw PCA alpha hull","spec_spca_convex","Std PCA convex hull",436,0.512102300119381,0.262248765787561,154.274176814224,1.61171309152366e-30,4.31005588955471,-254.840658998386,0.476427020676045,4.35189518057272e-26
"20m","spec_alpha","Raw PCA alpha hull","spec_spca_hull3d_v","Std PCA 3D hull volume",436,0.507726107244699,0.257785799977856,150.736858964773,6.01647954019833e-30,97.4978309714438,-20214.2067242342,0.491987371837983,5.88479074472083e-28
"20m","spec_alpha","Raw PCA alpha hull","spec_spca_hull3d_a","Std PCA 3D hull area",436,0.510419425738464,0.260527990171183,152.905243513501,2.68072650652361e-30,11.4513093043043,-274.01267904865,0.482822181376719,7.62299270098363e-27
"20m","spec_rao_q","Raw PCA Rao's Q","spec_pca_mean","Raw PCA mean distance",436,0.926341281702938,0.858108170187041,2624.66800486044,3.89729195790598e-186,0.0166469588594319,5.10618129597636,0.985057736703835,0
"20m","spec_rao_q","Raw PCA Rao's Q","spec_convex","Raw PCA convex hull",436,0.795412992915674,0.632681829299071,747.53697425811,1.97687643254524e-96,7.42414439233032,159.800717487709,0.676358537293401,1.32780985286382e-59
"20m","spec_rao_q","Raw PCA Rao's Q","spec_hull3d_v","Raw PCA 3D hull volume",436,0.850129232210303,0.72271971145848,1131.2032183132,5.84118771475429e-123,91.4087378746771,-3670.41704294554,0.762677425169598,3.69804085227427e-84
"20m","spec_rao_q","Raw PCA Rao's Q","spec_hull3d_a","Raw PCA 3D hull area",436,0.818793591089485,0.670422944809214,882.839243401717,1.16397739838688e-106,18.7831714447522,329.007517422107,0.722826756587906,1.16002407235144e-71
"20m","spec_rao_q","Raw PCA Rao's Q","spec_spca_alpha","Std PCA alpha hull",436,0.561589285704132,0.315382525817677,199.930649401479,1.32923486348409e-37,1.1441145108488,449.16864555169,0.539022569835314,3.1592801429139e-34
"20m","spec_rao_q","Raw PCA Rao's Q","spec_spca_rao","Std PCA Rao's Q",436,0.83315515623033,0.694147514353186,984.984707880273,1.04204975738831e-113,1.29920198021084,-73.8946362129238,0.595329809745055,3.68051883315119e-43
"20m","spec_rao_q","Raw PCA Rao's Q","spec_spca_mean","Std PCA mean distance",436,0.755037162931938,0.57008111740831,575.492761480278,1.40962509761833e-81,0.0152504412595214,4.4103213912145,0.571597928703442,3.48103544193967e-39
"20m","spec_rao_q","Raw PCA Rao's Q","spec_spca_convex","Std PCA convex hull",436,0.599778195211621,0.359733883451309,243.843148001406,6.07339869151198e-44,11.0070860344955,629.392050451702,0.413136937084331,2.11154696145631e-19
