quad_id,scale,elev_mean,tri5_mean,tri11_mean,tri21_mean,Name,sub_id
804_d,10m,209.730919068987,1.763791021640535,7.801778343921257,27.01263703944552,804,804_d
903_a,10m,211.07800341245954,1.3843032800114425,6.355611696969775,23.44493668546129,903,903_a
903_b,10m,209.15523549962086,2.2171432989753677,9.884990374280612,30.535516982252283,903,903_b
903_c,10m,209.40679205243316,3.238207132099539,12.719636955842896,33.8322438059557,903,903_c
903_d,10m,211.40665873834885,1.6671326126716703,7.445534690508918,26.618522685572344,903,903_d
1002_a,10m,212.34022931393403,1.998353878383824,8.595021269688116,28.21048853009897,1002,1002_a
1002_b,10m,210.59266106024052,1.1764155302017916,5.485170661191887,20.375035599669623,1002,1002_b
1002_c,10m,211.4328699350685,1.3994488677866839,6.207257753463376,21.806607738017416,1002,1002_c
1002_d,10m,213.17832519351688,1.969952527971759,8.656806435033566,29.374645127062582,1002,1002_d
1101_a,10m,213.1983994702994,1.6388763527127277,6.682284605828376,22.889058430231515,1101,1101_a
1101_b,10m,211.53034029624695,1.5695506055542414,6.926182687948913,23.089725469916015,1101,1101_b
1101_c,10m,212.6062758274209,1.838814921570205,7.884558719949745,26.495507240462004,1101,1101_c
1101_d,10m,214.11354609729577,1.3323728889154831,6.232526755226792,23.774374904305553,1101,1101_d
1200_a,10m,210.640931201156,1.4035184965505714,6.9739019022624085,25.853475707870658,1200,1200_a
1200_b,10m,210.952590822061,1.6151287577382099,7.453838544441111,25.223410399361516,1200,1200_b
1200_c,10m,212.5014184477033,1.380889264636995,6.01426999623178,21.540557983721044,1200,1200_c
1200_d,10m,212.39950268773802,1.5946970928562871,7.268378418573893,25.379869717273426,1200,1200_d
13_a,10m,247.26917613566232,2.0352993128952765,9.384966783083287,34.895610599324435,13,13_a
13_b,10m,249.3932180539758,3.1575118021615283,13.895879747783885,46.476675332110865,13,13_b
13_c,10m,251.95237828774543,3.783871729820161,16.653745486213182,49.72311678880846,13,13_c
13_d,10m,248.49739309610985,2.378805430732312,11.928255599224086,44.53188321503322,13,13_d
112_a,10m,240.66934358085578,1.672721974919601,7.84655578585457,28.649798020163903,112,112_a
112_b,10m,242.53650521714513,2.0200798625355083,8.818890702569826,31.379977450893954,112,112_b
112_c,10m,243.80229052006487,1.8246447365986458,8.557826763800474,30.65476631927385,112,112_c
112_d,10m,241.806392675267,1.5768633770660228,7.391709057578581,26.479328135436077,112,112_d
211_a,10m,234.91976776798043,1.6790682071246212,8.7386619507464,34.183669496095455,211,211_a
211_b,10m,236.47588583535844,1.4123422505670908,6.161906565604106,23.3894133356484,211,211_b
211_c,10m,237.45542313664612,1.51838216515687,7.327924592885948,26.608511945222286,211,211_c
211_d,10m,236.1693927423117,1.5043090196934497,7.214774837079895,27.976364840992364,211,211_d
310_a,10m,227.9545920326471,1.433311574258603,6.484567320502717,22.95279757090189,310,310_a
310_b,10m,229.33866448359305,1.4178009321504712,6.6645608679145,25.016054201192954,310,310_b
