"quad_id","n_pixels","n_pairs","method","spectral_entropy","exact_entropy","boot_mean","boot_sd","boot_cv","boot_median","boot_min","boot_max"
"1323_a",6575,21612025,"bootstrap_mean",2.88016876878241,NA,2.88016876878241,0.00743359505046184,0.00258095814767284,2.88092412012074,2.86123462019584,2.89912178624533
"1323_b",5932,17591346,"bootstrap_mean",2.91073316298007,NA,2.91073316298007,0.00861889212579309,0.00296107256941715,2.91103407224972,2.88884740030753,2.93405219878944
"1323_c",7884,31074786,"bootstrap_mean",2.76703369249693,NA,2.76703369249693,0.0113012760919141,0.00408425677018626,2.76775407004577,2.74532862693946,2.79077826883454
"1323_d",8371,35032635,"bootstrap_mean",2.76253840289962,NA,2.76253840289962,0.0106885208697234,0.0038690940399252,2.76173909678548,2.73861972460705,2.78871249618591
"1324_a",7660,29333970,"bootstrap_mean",2.83645029301268,NA,2.83645029301268,0.00980319811864565,0.00345615015457696,2.83494211287582,2.81767435615298,2.86831235951847
"1324_b",6973,24307878,"bootstrap_mean",2.74385016617058,NA,2.74385016617058,0.0821192960738675,0.0299284913900661,2.73266647050762,2.71815516872379,3.41764414065713
"1324_c",6381,20355390,"bootstrap_mean",2.8694621420826,NA,2.8694621420826,0.00898635548096952,0.00313172122021704,2.86929977367915,2.84957176443685,2.89272312931774
"1324_d",5916,17496570,"bootstrap_mean",2.81032521940533,NA,2.81032521940533,0.00729593091636253,0.00259611623095577,2.81055931506274,2.79245142160143,2.82507265647327
"14_a",7629,29097006,"bootstrap_mean",2.88493496545277,NA,2.88493496545277,0.0124035608711875,0.00429942477723786,2.88572509160649,2.85395293422289,2.90865466699674
"14_b",6476,20966050,"bootstrap_mean",2.8450989975978,NA,2.8450989975978,0.00720920162916538,0.002533901855525,2.84549939453928,2.82007408931916,2.86000370182972
"14_c",8116,32930670,"bootstrap_mean",2.88628069222606,NA,2.88628069222606,0.012256427829629,0.00424644348092706,2.88486810246448,2.85373138372147,2.91740227807706
"14_d",8253,34051878,"bootstrap_mean",2.82332665639863,NA,2.82332665639863,0.0107157432294624,0.00379543160731221,2.82392269779564,2.80439864785553,2.8541801519289
"1400_a",6408,20528028,"bootstrap_mean",2.81146308742958,NA,2.81146308742958,0.00935633055015426,0.00332792224517819,2.81178025679884,2.79041456596895,2.83181363215192
"1400_b",6806,23157415,"bootstrap_mean",2.91111167549858,NA,2.91111167549858,0.00927733530858211,0.00318687028967832,2.91116411882171,2.89236149291508,2.93293983043856
"1400_c",6570,21579165,"bootstrap_mean",2.88417289750421,NA,2.88417289750421,0.00830058591141362,0.00287797791824354,2.88310612022165,2.85548520398212,2.90294200639877
"1400_d",6284,19741186,"bootstrap_mean",2.81428441797397,NA,2.81428441797397,0.0108582735263584,0.00385827155813037,2.8150708856577,2.78775198645922,2.8432019870204
"1401_a",4556,10376290,"bootstrap_mean",2.9494481705836,NA,2.9494481705836,0.218540103694645,0.0740952514013507,3.02619768340097,2.32615420942979,3.04197193251285
"1401_b",3804,7233306,"bootstrap_mean",3.01654068125852,NA,3.01654068125852,0.00834221245302937,0.00276548978930029,3.01709068112019,2.99783902720634,3.03280020983851
"1401_c",5208,13559028,"bootstrap_mean",3.05066295286483,NA,3.05066295286483,0.159839409957881,0.0523949752652217,3.08888070486831,2.39192437558998,3.12108504470118
"1401_d",7198,25902003,"bootstrap_mean",2.85170791207535,NA,2.85170791207535,0.00859803040056661,0.00301504595339476,2.85140070745528,2.83171249399776,2.87440343339173
"1402_a",5031,12652965,"bootstrap_mean",2.9303662781916,NA,2.9303662781916,0.00756291031301272,0.00258087542478819,2.9299551083548,2.90957114645079,2.94974393177943
"1402_b",6315,19936455,"bootstrap_mean",2.96346672626216,NA,2.96346672626216,0.00932606056287154,0.00314701038490638,2.96294885682632,2.94001308319832,2.9816538137119
"1402_c",7717,29772186,"bootstrap_mean",2.82054802459995,NA,2.82054802459995,0.00917953088390222,0.00325452032861741,2.82120044499488,2.79985868816307,2.84130611625299
"1402_d",8446,35663235,"bootstrap_mean",2.79880047273285,NA,2.79880047273285,0.00826067949128125,0.00295150710876336,2.79785046223382,2.77725039058749,2.8182096945569
"1403_a",7784,30291436,"bootstrap_mean",2.8246553325946,NA,2.8246553325946,0.00768733963810154,0.00272151421428125,2.82388916757839,2.8025959298834,2.84071730204326
