"scenario","scale","spectral_metric","spectral_label","spectral_transform","biodiversity_metric","biodiversity_label","biodiversity_transform","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept"
"biodiversity_power2_spectral_identity","20m","spec_convex","Raw PCA convex hull","identity","phy_rao","Phylogenetic Rao's Q","power_2",436,0.00595700636905552,3.54859248809682e-05,0.0154014379326097,0.901291551350184,0.000152195989388706,1454.06865828182
"biodiversity_power2_spectral_identity","50m","spec_convex","Raw PCA convex hull","identity","phy_rao","Phylogenetic Rao's Q","power_2",74,0.165765381051397,0.0274781615551149,2.03432720352264,0.158103992662252,0.00537077279124692,1767.02124672972
"biodiversity_power2_spectral_identity","10m","spec_convex","Raw PCA convex hull","identity","phy_afaith","Abundance-weighted Faith's PD","power_2",1744,0.0108074806777809,0.000116801638600607,0.203492222667308,0.651972815469822,3.24938085842241e-05,1063.16859093572
"biodiversity_power2_spectral_identity","20m","spec_convex","Raw PCA convex hull","identity","phy_afaith","Abundance-weighted Faith's PD","power_2",436,0.0353762800940459,0.00125148119329239,0.543823422674847,0.461250982458236,1.98175655567576e-05,1441.62534810444
"biodiversity_power2_spectral_identity","50m","spec_convex","Raw PCA convex hull","identity","phy_afaith","Abundance-weighted Faith's PD","power_2",74,0.0664330554210361,0.00441335085257445,0.319169870003256,0.573863047117384,2.68562786816918e-06,1967.20726110031
"biodiversity_power2_spectral_identity","10m","spec_convex","Raw PCA convex hull","identity","sp_rich","Species richness","power_2",1744,-0.0604434820333038,0.00365341452031033,6.38758458866654,0.0115799522064433,-2.25733969804561,1111.02446109008
"biodiversity_power2_spectral_identity","20m","spec_convex","Raw PCA convex hull","identity","sp_rich","Species richness","power_2",436,-0.142501106530566,0.0203065653624356,8.99572157545122,0.00286183454829037,-2.63151052879366,1619.98145449745
"biodiversity_power2_spectral_identity","50m","spec_convex","Raw PCA convex hull","identity","sp_rich","Species richness","power_2",74,-0.08912592340192,0.00794343022224493,0.576506414477715,0.4501637112912,-0.600591357331177,2168.00157927135
"biodiversity_power2_spectral_identity","10m","spec_convex","Raw PCA convex hull","identity","sp_shannon","Shannon diversity","power_2",1744,-0.0386184564744511,0.00149138518046907,2.60187337977718,0.106918605585005,-26.0625647317695,1097.53637073549
"biodiversity_power2_spectral_identity","20m","spec_convex","Raw PCA convex hull","identity","sp_shannon","Shannon diversity","power_2",436,-0.107462035136723,0.0115480889957262,5.070424335619,0.0248367104081826,-63.6835038338286,1632.3622943632
"biodiversity_power2_spectral_identity","50m","spec_convex","Raw PCA convex hull","identity","sp_shannon","Shannon diversity","power_2",74,-0.0419775676623248,0.00176211618684505,0.127096323942551,0.72250450188065,-21.5128508407137,2124.72767308682
"biodiversity_power2_spectral_identity","10m","spec_convex","Raw PCA convex hull","identity","sp_simpson","Simpson diversity","power_2",1744,-0.033251437891101,0.00110565812182575,1.92818836534701,0.165134301818528,-97.5804251028934,1100.47706455492
"biodiversity_power2_spectral_identity","20m","spec_convex","Raw PCA convex hull","identity","sp_simpson","Simpson diversity","power_2",436,-0.0726898743500971,0.00528381783303291,2.3053580314142,0.129656662231359,-316.383282218016,1638.62310708476
"biodiversity_power2_spectral_identity","50m","spec_convex","Raw PCA convex hull","identity","sp_simpson","Simpson diversity","power_2",74,-0.0130149072658878,0.000169387811139658,0.0121979885926434,0.912364139579397,-91.2859229739028,2080.87204643919
"biodiversity_power2_spectral_identity","10m","spec_convex","Raw PCA convex hull","identity","sp_even","Species evenness","power_2",1744,-0.00537795781994025,2.89224303130557e-05,0.0503843308426408,0.822422178155421,-10.7952294034676,1072.94495044663
"biodiversity_power2_spectral_identity","20m","spec_convex","Raw PCA convex hull","identity","sp_even","Species evenness","power_2",436,0.00901881615156433,8.13390447757172e-05,0.0353040170276831,0.851047850963027,37.0873280063853,1434.73325126694
"biodiversity_power2_spectral_identity","50m","spec_convex","Raw PCA convex hull","identity","sp_even","Species evenness","power_2",74,-0.0024985182026583,6.24259320901468e-06,0.000449469516904411,0.983144203472818,-15.7277726316185,2025.38658602691
"biodiversity_power2_spectral_identity","10m","spec_hull3d_v","Raw PCA 3D hull volume","identity","phy_faith","Faith's PD","power_2",1744,0.027513432408182,0.000756988962879595,1.31967375180097,0.250808321390947,0.000537048337700108,7600.92729896631
"biodiversity_power2_spectral_identity","20m","spec_hull3d_v","Raw PCA 3D hull volume","identity","phy_faith","Faith's PD","power_2",436,0.0825600512996039,0.00681616207059323,2.97851638907532,0.0850883303265838,0.00124552592131916,11525.7142628046
"biodiversity_power2_spectral_identity","50m","spec_hull3d_v","Raw PCA 3D hull volume","identity","phy_faith","Faith's PD","power_2",74,0.253521642324198,0.0642732231267585,4.94553771410722,0.0292953981922537,0.00228007673152329,15135.8432052927
"biodiversity_power2_spectral_identity","10m","spec_hull3d_v","Raw PCA 3D hull volume","identity","phy_rao","Phylogenetic Rao's Q","power_2",1744,0.03412926145558,0.00116480648750334,2.0314591580372,0.154251766591357,0.00699519113741005,7581.34498928437
"biodiversity_power2_spectral_identity","20m","spec_hull3d_v","Raw PCA 3D hull volume","identity","phy_rao","Phylogenetic Rao's Q","power_2",436,0.0618183655249709,0.0038215103161789,1.66489790172848,0.197630339237253,0.018194565778769,11677.9500194416
"biodiversity_power2_spectral_identity","50m","spec_hull3d_v","Raw PCA 3D hull volume","identity","phy_rao","Phylogenetic Rao's Q","power_2",74,0.288813035861673,0.0834129696836361,6.55227885468649,0.0125746133926306,0.113511119924155,14383.2523380507
"biodiversity_power2_spectral_identity","10m","spec_hull3d_v","Raw PCA 3D hull volume","identity","phy_afaith","Abundance-weighted Faith's PD","power_2",1744,0.0248099936539522,0.000615535785109153,1.07292376062951,0.300429735304826,0.000749119494230479,7657.0074679959
"biodiversity_power2_spectral_identity","20m","spec_hull3d_v","Raw PCA 3D hull volume","identity","phy_afaith","Abundance-weighted Faith's PD","power_2",436,0.0826937618918097,0.00683825825581932,2.98823842913397,0.0845825513356314,0.000533654188504575,11849.9732395351
"biodiversity_power2_spectral_identity","50m","spec_hull3d_v","Raw PCA 3D hull volume","identity","phy_afaith","Abundance-weighted Faith's PD","power_2",74,0.217744154216504,0.0474125166954605,3.5836091297683,0.0623714371238533,0.000106779230075285,17729.5601501509
"biodiversity_power2_spectral_identity","10m","spec_hull3d_v","Raw PCA 3D hull volume","identity","sp_rich","Species richness","power_2",1744,-0.0517884900709509,0.00268204770382902,4.6846916665977,0.0305679955036991,-19.4235670277035,8121.64359021354
"biodiversity_power2_spectral_identity","20m","spec_hull3d_v","Raw PCA 3D hull volume","identity","sp_rich","Species richness","power_2",436,-0.108789213287426,0.0118350929276971,5.19794853456046,0.0230979462656856,-23.1431113518196,13743.4743873437
