"scale","x_metric","x_label","y_metric","y_label","x_transform","y_transform","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","spectral_group","biodiversity_group"
"10m","sp_shannon","Shannon diversity","spec_rao_q","Raw PCA Rao's Q","identity","identity",1744,-0.0571243888431012,-0.0476930302179801,0.00326319580069783,5.70309740832945,0.0170409783672351,-13.0100909114291,172.696618175479,8.55599786147081e-54,0.0642010886480101,"raw_pca","species"
"10m","sp_simpson","Simpson diversity","spec_rao_q","Raw PCA Rao's Q","identity","identity",1744,-0.0490058300801318,-0.0452491254668189,0.00240157138184276,4.19360859756465,0.0407263008023322,-23.1988749005006,172.429466241756,8.01588018472921e-54,0.057715190241104,"raw_pca","species"
"10m","sp_even","Species evenness","spec_rao_q","Raw PCA Rao's Q","identity","identity",1744,-0.00740247270503513,0.00914421727635193,5.47966021487902e-05,0.0954609118768015,0.757383201433584,-3.05792482681501,161.73487846358,6.62693406136208e-54,0.0208956990753173,"raw_pca","species"
"10m","phy_faith","Faith's PD","spec_pca_mean","Raw PCA mean distance","identity","identity",1744,0.032578858499392,0.0208143920228733,0.0010613820211234,1.85089198427212,0.173855691695709,0.000223241065806311,7.50441572681919,8.91748653259402e-33,0.0509283232129427,"raw_pca","phylogenetic"
"10m","phy_rao","Phylogenetic Rao's Q","spec_pca_mean","Raw PCA mean distance","identity","identity",1744,0.0528132377302096,0.0200988709848203,0.00278923807954764,4.87244313851436,0.0274187843829757,0.00115426354866738,7.4525972662613,1.03894453712735e-32,0.0530185661729264,"raw_pca","phylogenetic"
"10m","phy_afaith","Abundance-weighted Faith's PD","spec_pca_mean","Raw PCA mean distance","identity","identity",1744,0.0539579291933256,0.0370384447474673,0.00291145812283194,5.08656938372282,0.0242354957194644,0.000458568969524292,7.47763134686512,7.51748710013504e-33,-0.00110993459893795,"raw_pca","phylogenetic"
"10m","sp_rich","Species richness","spec_pca_mean","Raw PCA mean distance","identity","identity",1744,-0.0605955784071762,-0.0566309340834802,0.00367182412250029,6.41989032957144,0.0113719269149668,-0.0630489265212653,7.86951351081888,1.21964054559856e-32,0.0572802116953728,"raw_pca","species"
"10m","sp_shannon","Shannon diversity","spec_pca_mean","Raw PCA mean distance","identity","identity",1744,-0.0338442458988579,-0.0376515494598126,0.00114543298046236,1.99763240600611,0.157723787447764,-0.133570903411352,7.74197655133842,9.25629679117829e-33,0.0430061730443785,"raw_pca","species"
"10m","sp_simpson","Simpson diversity","spec_pca_mean","Raw PCA mean distance","identity","identity",1744,-0.0261745624674905,-0.0343918175712077,0.000685107720364561,1.19427585648459,0.274619863130909,-0.214717212705179,7.7261895501275,8.79553222847321e-33,0.0410558755810308,"raw_pca","species"
"10m","sp_even","Species evenness","spec_pca_mean","Raw PCA mean distance","identity","identity",1744,0.00780893284765786,0.0167627035168753,6.09794322192304e-05,0.106232648932514,0.744513813840065,0.0558997589739488,7.56648994814892,8.22594961148216e-33,-0.0228859513715406,"raw_pca","species"
"10m","phy_faith","Faith's PD","spec_convex","Raw PCA convex hull","identity","identity",1744,-0.0138076437774298,-0.0214481007365404,0.000190651026684395,0.332177418450085,0.564454206530988,-0.0305560978777723,1080.83993115966,2.5697284261301e-40,0.0271032251540602,"raw_pca","phylogenetic"
"10m","phy_rao","Phylogenetic Rao's Q","spec_convex","Raw PCA convex hull","identity","identity",1744,0.00111515619985443,-0.0196884756973743,1.24357335007374e-06,0.0021663074697907,0.962882312310286,0.00787114632098164,1065.77490097338,2.45750579194502e-40,-0.00870446705200637,"raw_pca","phylogenetic"
"10m","phy_afaith","Abundance-weighted Faith's PD","spec_convex","Raw PCA convex hull","identity","identity",1744,0.00643550508781747,0.0296438456700329,4.14157257353256e-05,0.0721491823416851,0.78826470143606,0.0176633112595225,1061.85115440923,2.30720180580532e-40,-0.0600558676415583,"raw_pca","phylogenetic"
"10m","sp_rich","Species richness","spec_convex","Raw PCA convex hull","identity","identity",1744,-0.0638947516586205,-0.0388029967785598,0.00408253928951682,7.1409365965577,0.00760462821486294,-21.4704942612706,1156.29091930539,4.68291005923004e-40,0.0807232926938375,"raw_pca","species"
"10m","sp_shannon","Shannon diversity","spec_convex","Raw PCA convex hull","identity","identity",1744,-0.0426775394031702,-0.0219144031976354,0.00182137236950915,3.17862011854201,0.0747817997765332,-54.3959402384618,1121.87723099669,3.44048378118836e-40,0.0566688403929548,"raw_pca","species"
"10m","sp_simpson","Simpson diversity","spec_convex","Raw PCA convex hull","identity","identity",1744,-0.0351230425189105,-0.017109517487325,0.0012336281157852,2.15163449450513,0.142598702629689,-93.0507020087218,1118.56659154081,3.09293992316738e-40,0.0464401784807947,"raw_pca","species"
"10m","sp_even","Species evenness","spec_convex","Raw PCA convex hull","identity","identity",1744,-0.0146775128112865,0.00464814492548802,0.000215429382325478,0.375358847335615,0.540177598029443,-33.9321055860465,1091.2938537191,2.59029710417292e-40,0.019468241752322,"raw_pca","species"
"10m","phy_faith","Faith's PD","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",1744,0.0147227735240872,0.014534796410469,0.000216760060241562,0.377677890423081,0.538928875000524,0.327202222872509,7591.27584048609,1.33721053098589e-45,-0.000604114970637246,"raw_pca","phylogenetic"
"10m","phy_rao","Phylogenetic Rao's Q","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",1744,0.0265066499305351,0.00997156506338828,0.000702602490539934,1.2247940818929,0.268574660493503,1.87890758918391,7490.32898589424,1.37486488357575e-45,0.0177272039814624,"raw_pca","phylogenetic"
"10m","phy_afaith","Abundance-weighted Faith's PD","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",1744,0.0234732501809314,0.0369406541596033,0.000550993474056601,0.960359783780209,0.327232323861225,0.647010021091378,7559.09103060047,1.21722788040947e-45,-0.0175323765994593,"raw_pca","phylogenetic"
"10m","sp_rich","Species richness","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",1744,-0.0519890797330326,-0.029259401262106,0.00270286441148768,4.7211504343017,0.0299282024756267,-175.443499437864,8472.38405301169,2.03150248202164e-45,0.0695116859794622,"raw_pca","species"
"10m","sp_shannon","Shannon diversity","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",1744,-0.0313121088401184,-0.0155147587007457,0.000980448160015423,1.70961688547656,0.191207623435855,-400.800015340263,8146.96115038812,1.63151494143836e-45,0.0453305031962092,"raw_pca","species"
"10m","sp_simpson","Simpson diversity","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",1744,-0.0221187314520141,-0.0140131265789646,0.000489238281046319,0.85267024450741,0.355925915716863,-588.485865036096,8068.55924078108,1.50399686597709e-45,0.0336219557413094,"raw_pca","species"
"10m","sp_even","Species evenness","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",1744,-0.00808207851741381,-0.00367399680219297,6.53199931616412e-05,0.113794861167132,0.735905064051877,-187.641848436791,7876.63888826782,1.38511547144585e-45,0.0134503478117699,"raw_pca","species"
"10m","phy_faith","Faith's PD","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1744,-0.000888609935278774,-0.00433292282763507,7.89627617076197e-07,0.0013755323951051,0.970418953536517,-0.00470149922493553,2635.51819152305,3.69624007113065e-41,0.0165730156274656,"raw_pca","phylogenetic"
"10m","phy_rao","Phylogenetic Rao's Q","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1744,0.01350838204644,-0.00569383079673034,0.00018247638551258,0.317931878622964,0.572925748190209,0.227956774567446,2602.90881682552,3.65263922750474e-41,0.00212023396732768,"raw_pca","phylogenetic"
