"scale","x_metric","x_label","y_metric","y_label","x_transform","y_transform","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","metric_group"
"20m","spec_alpha","Raw PCA alpha hull","spec_spca_mean","Std PCA mean distance","identity","identity",436,0.74410138666455,0.705663488873622,0.553686873636106,538.411462633401,4.81193609750164e-78,0.00689272073284654,2.584424750939,1.63929324719483e-19,0.0969934908616713,"spectral"
"20m","spec_alpha","Raw PCA alpha hull","spec_spca_convex","Std PCA convex hull","identity","identity",436,0.512102300119381,0.476427020676045,0.262248765787561,154.274176814224,1.61171309152366e-30,4.31005588955471,-254.840658998386,1.92355269932179e-18,0.193993923381087,"spectral"
"20m","spec_alpha","Raw PCA alpha hull","spec_spca_hull3d_v","Std PCA 3D hull volume","identity","identity",436,0.507726107244699,0.491987371837983,0.257785799977856,150.736858964773,6.01647954019833e-30,97.4978309714438,-20214.2067242342,8.26794727682803e-21,0.252990051006284,"spectral"
"20m","spec_alpha","Raw PCA alpha hull","spec_spca_hull3d_a","Std PCA 3D hull area","identity","identity",436,0.510419425738464,0.482822181376719,0.260527990171183,152.905243513501,2.68072650652361e-30,11.4513093043043,-274.01267904865,8.25658058424669e-18,0.193742424218916,"spectral"
"20m","spec_alpha","Raw PCA alpha hull","spec_sa","Spectral angle entropy","identity","identity",436,0.252707086184284,0.224253831558388,0.0638608714077513,29.6063024655773,8.86439935438479e-08,0.000144619828317582,2.73770989162102,7.31770102362947e-09,-0.0256343087957928,"spectral"
"20m","spec_rao_q","Raw PCA Rao's Q","spec_pca_mean","Raw PCA mean distance","identity","identity",436,0.926341281702938,0.985057736703835,0.858108170187041,2624.66800486044,3.89729195790598e-186,0.0166469588594319,5.10618129597636,9.65172282815746e-22,0.392704443613302,"spectral"
"20m","spec_rao_q","Raw PCA Rao's Q","spec_convex","Raw PCA convex hull","identity","identity",436,0.795412992915674,0.676358537293401,0.632681829299071,747.53697425811,1.97687643254524e-96,7.42414439233032,159.800717487709,4.48117630714452e-15,0.366620427906932,"spectral"
"20m","spec_rao_q","Raw PCA Rao's Q","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",436,0.850129232210303,0.762677425169598,0.72271971145848,1131.2032183132,5.84118771475429e-123,91.4087378746771,-3670.41704294554,2.39759734889652e-17,0.400226598420985,"spectral"
"20m","spec_rao_q","Raw PCA Rao's Q","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",436,0.818793591089485,0.722826756587906,0.670422944809214,882.839243401717,1.16397739838688e-106,18.7831714447522,329.007517422107,1.03296566477499e-16,0.357845314730863,"spectral"
"20m","spec_rao_q","Raw PCA Rao's Q","spec_spca_alpha","Std PCA alpha hull","identity","identity",436,0.561589285704132,0.539022569835314,0.315382525817677,199.930649401479,1.32923486348409e-37,1.1441145108488,449.16864555169,7.9723134912477e-08,0.268792029185826,"spectral"
"20m","spec_rao_q","Raw PCA Rao's Q","spec_spca_rao","Std PCA Rao's Q","identity","identity",436,0.83315515623033,0.595329809745055,0.694147514353186,984.984707880273,1.04204975738831e-113,1.29920198021084,-73.8946362129238,3.20462168450458e-17,0.396000584698228,"spectral"
"20m","spec_rao_q","Raw PCA Rao's Q","spec_spca_mean","Std PCA mean distance","identity","identity",436,0.755037162931938,0.571597928703442,0.57008111740831,575.492761480278,1.40962509761833e-81,0.0152504412595214,4.4103213912145,1.04109926108949e-11,0.16461572302268,"spectral"
"20m","spec_rao_q","Raw PCA Rao's Q","spec_spca_convex","Std PCA convex hull","identity","identity",436,0.599778195211621,0.413136937084331,0.359733883451309,243.843148001406,6.07339869151198e-44,11.0070860344955,629.392050451702,3.18756997146607e-14,0.169414211313113,"spectral"
"20m","spec_rao_q","Raw PCA Rao's Q","spec_spca_hull3d_v","Std PCA 3D hull volume","identity","identity",436,0.565171527127567,0.39898708299158,0.319418855075706,203.690308109075,3.66107587899842e-38,236.64713213699,1949.14754722431,2.62668735103274e-19,0.197560289378244,"spectral"
