"scale","x_metric","x_label","y_metric","y_label","x_transform","y_transform","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","target_group","driver_metric","target_metric"
"10m","env_tri21","TRI 21x21","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,-0.0524602502936159,-0.134576779895195,0.00275207786086883,4.80734983468298,0.0284704559275789,-0.647763332752158,163.905960478647,2.57835362191017e-61,0.0329789705452608,"spectral","env_tri21","spec_spca_rao"
"10m","brightness_n_pixels","brightness_n_pixels","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,-0.0609676330762481,-0.0220147677400012,0.00371705228292001,6.4992631778793,0.0108769691587545,-0.00698142640310583,193.928652030685,3.74069546237664e-61,0.0657189193976388,"spectral","brightness_n_pixels","spec_spca_rao"
"10m","mean_pixel_brightness","563 nm brightness","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,0.213319457936398,0.235119726107636,0.0455051911342787,83.0492132797604,2.13810112450562e-19,4358.25028725,-101.768840986241,2.8922288440517e-60,0.197405212719923,"spectral","mean_pixel_brightness","spec_spca_rao"
"10m","mean_blue_pixel_brightness","Blue brightness","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,0.27792044085874,0.211000276855016,0.0772397714471161,145.814348838903,2.67246108401976e-32,13320.0748723772,-115.544344526942,3.83626318695152e-59,0.296486372599021,"spectral","mean_blue_pixel_brightness","spec_spca_rao"
"10m","mean_green_pixel_brightness","Green brightness","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,0.237563265650625,0.260284853904119,0.0564363051865893,104.192270405741,8.457477299517e-24,6108.97952854048,-133.564659952971,3.96029412110627e-60,0.21236115425909,"spectral","mean_green_pixel_brightness","spec_spca_rao"
"10m","mean_red_pixel_brightness","Red brightness","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,0.0317724812715958,-0.0709544408128181,0.0010094905661539,1.7603095821568,0.184759795317208,403.502933239121,99.7949377851709,3.63121544831385e-61,0.0803720574871742,"spectral","mean_red_pixel_brightness","spec_spca_rao"
"10m","mean_nir_pixel_brightness","NIR brightness","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,-0.208240049170294,-0.350631628950393,0.0433639180784464,78.9641397812634,1.54129236348785e-18,-604.258129176172,426.021260861928,1.20809388360844e-60,0.201989361918722,"spectral","mean_nir_pixel_brightness","spec_spca_rao"
"10m","env_elev","Mean elevation","spec_spca_mean","Std PCA mean distance","identity","identity",1744,-0.201700074136758,-0.283359563449546,0.0406829199067738,73.875101307185,1.81977552332037e-17,-0.0207788022937908,11.5530640491241,4.98923817178746e-49,0.0825710105551323,"spectral","env_elev","spec_spca_mean"
"10m","env_tri5","TRI 5x5","spec_spca_mean","Std PCA mean distance","identity","identity",1744,-0.0709805243944551,-0.11470550096302,0.00503823484331182,8.82104760645454,0.003018478920402,-0.150896894124558,7.13924441752532,8.3662396037366e-49,0.0110446836716143,"spectral","env_tri5","spec_spca_mean"
"10m","env_tri11","TRI 11x11","spec_spca_mean","Std PCA mean distance","identity","identity",1744,-0.0891626466008083,-0.134049409322426,0.00794997754886063,13.9598413151564,0.000192776331024883,-0.0426203125853459,7.2292176747711,8.27727441775856e-49,0.026449961783261,"spectral","env_tri11","spec_spca_mean"
